nomor,kelas,hari,jam_pelajaran,mata_pelajaran,guru_id,ruangan
59,XII RPL 1,Sabtu,10:00 - 11:00,Pemrograman Dasar,TCH014,R04
60,XII RPL 1,Sabtu,11:00 - 12:00,PBO,TCH015,R05
61,XII RPL 2,Senin,07:00 - 08:00,Matematika,TCH002,R01
62,XII RPL 2,Senin,08:00 - 09:00,Bahasa Indonesia,TCH003,R02
63,XII RPL 2,Senin,09:00 - 10:00,Bahasa Inggris,TCH004,R03
64,XII RPL 2,Senin,10:00 - 11:00,Pemrograman Dasar,TCH006,R04
65,XII RPL 2,Senin,11:00 - 12:00,PBO,TCH006,R05
66,XII RPL 2,Selasa,07:00 - 08:00,Matematika,TCH011,R01
67,XII RPL 2,Selasa,08:00 - 09:00,Bahasa Indonesia,TCH012,R02
68,XII RPL 2,Selasa,09:00 - 10:00,Bahasa Inggris,TCH013,R03
69,XII RPL 2,Selasa,10:00 - 11:00,Pemrograman Dasar,TCH014,R04
70,XII RPL 2,Selasa,11:00 - 12:00,PBO,TCH015,R05
71,XII RPL 2,Rabu,07:00 - 08:00,Matematika,TCH002,R01
72,XII RPL 2,Rabu,08:00 - 09:00,Bahasa Indonesia,TCH003,R02
73,XII RPL 2,Rabu,09:00 - 10:00,Bahasa Inggris,TCH004,R03
74,XII RPL 2,Rabu,10:00 - 11:00,Pemrograman Dasar,TCH006,R04
75,XII RPL 2,Rabu,11:00 - 12:00,PBO,TCH006,R05
76,XII RPL 2,Kamis,07:00 - 08:00,Matematika,TCH011,R01
77,XII RPL 2,Kamis,08:00 - 09:00,Bahasa Indonesia,TCH012,R02
78,XII RPL 2,Kamis,09:00 - 10:00,Bahasa Inggris,TCH013,R03
79,XII RPL 2,Kamis,10:00 - 11:00,Pemrograman Dasar,TCH014,R04
80,XII RPL 2,Kamis,11:00 - 12:00,PBO,TCH015,R05
81,XII RPL 2,Jumat,07:00 - 08:00,Matematika,TCH002,R01
82,XII RPL 2,Jumat,08:00 - 09:00,Bahasa Indonesia,TCH003,R02
83,XII RPL 2,Jumat,09:00 - 10:00,Bahasa Inggris,TCH004,R03
84,XII RPL 2,Jumat,10:00 - 11:00,Pemrograman Dasar,TCH006,R04
85,XII RPL 2,Jumat,11:00 - 12:00,PBO,TCH006,R05
86,XII RPL 2,Sabtu,07:00 - 08:00,Matematika,TCH011,R01
87,XII RPL 2,Sabtu,08:00 - 09:00,Bahasa Indonesia,TCH012,R02
88,XII RPL 2,Sabtu,09:00 - 10:00,Bahasa Inggris,TCH013,R03
89,XII RPL 2,Sabtu,10:00 - 11:00,Pemrograman Dasar,TCH014,R04
90,XII RPL 2,Sabtu,11:00 - 12:00,PBO,TCH015,R05
